run_id,success,base_x,base_y,base_yaw,q1,q2,q3,q4,q5,q6,entry_position_error_m,entry_normal_error_rad,planning_wall_time_s,nominal_execution_time_s,approach_time_s,contact_time_s,trajectory_points,base_travel_m,arm_travel_rad,min_joint_margin_rad,min_joint_margin_normalized,min_manipulability,min_self_collision_clearance_m,max_joint_speed_rad_s,hybrid_expanded_nodes,ik_rejections,collision_rejections,error
0,1,0.67,2.06,0,0.110157787329,2.14620220683,2.38412349242,-1.38873598117,4.60143488943,0.78530161362,7.56255331704e-07,7.5556381548e-07,3.749665302,442.644335584,39.5,403.144335584,705,10.26,4.09415216901,0.0912640188291,0.0149613145622,0.0274266705783,0.00559314331845,0.05,699,0,0,""
1,0,0.95,2.06,0.1,-2.98466609295,1.46775634014,-2.04909321163,0.581334789507,4.97011176224,3.92688777373,4.02512957551e-07,2.36078791585e-07,3.876362012,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,638,11,0,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 270/360"
2,0,0.59,2.0125,0.15,-0.275779821897,2.20523836364,2.17183401587,-1.23548287671,4.83737242024,0.785302331432,6.43501154368e-07,5.49527672368e-07,11.867569446,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,1568,0,165,"Generated trajectory violates the no-lateral-slip constraint"
3,0,0.91,2.1075,-0.1,3.40741727214,1.00334241683,-2.42220235156,4.56045552335,1.40417521192,0.785301451882,7.2196851017e-07,7.96620035447e-07,5.768747752,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,938,0,45,"Generated trajectory violates the no-lateral-slip constraint"
4,0,0.71,2.03625,0.15,0.0748681139653,2.15741420841,2.33679268488,-1.35261728805,4.48672456312,0.78530125658,7.5356769637e-07,7.02096163594e-07,4.531650253,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,804,0,18,"Generated trajectory violates the no-lateral-slip constraint"
5,1,0.99,2.06,0,3.50314139944,0.936167645676,-2.17119084621,4.3766192226,1.20845111932,0.785300744642,5.97296760151e-07,5.39948670029e-07,3.776131821,448.817298239,39.5,409.317298239,708,10.34,4.53899205868,0.243380777403,0.0398984880989,0.0274224980595,0.00633161212232,0.05,702,0,0,""
6,0,0.51,2.0125,0.1,-0.422927545665,2.24530923826,2.05389488826,-1.15761483878,5.03452014415,0.785303004249,6.07565961201e-07,4.82622824332e-07,11.871930097,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,1590,0,49,"Generated trajectory violates the no-lateral-slip constraint"
7,0,0.75,2.06,0.15,0.223876952134,2.13988512856,2.41399063449,-1.41228618194,4.33771579595,0.785300814227,8.52794766852e-07,8.19021826009e-07,4.08282396,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,759,0,10,"Generated trajectory violates the no-lateral-slip constraint"
8,0,0.67,2.1075,0,0.128572487336,2.10930395291,2.51719284848,-1.47999,4.58334472591,0.785853899239,0.00213196901416,0.00488764540516,0.468127715,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,47,0,15,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
9,0,0.95,2.08375,-0.05,3.46684630988,0.974282134911,-2.29884777675,4.46616146354,1.29474621194,0.785301075169,6.38656568686e-07,6.38319551665e-07,26.815156538,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,3091,0,472,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
10,0,0.59,2.06,0.1,-0.243719010542,2.16711824078,2.29962208003,-1.32515072464,4.85531159586,0.785302374147,6.64979595302e-07,6.5020991055e-07,4.44851398,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,777,0,15,"Generated trajectory violates the no-lateral-slip constraint"
11,0,0.87,2.08375,0,3.16156174969,1.00154754179,-2.41313046981,4.55317846896,1.55003066242,0.785301878706,7.61084662633e-07,8.22538698911e-07,0.513161212,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,49,0,15,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
12,0,0.71,2.06,0.1,0.142964642115,2.14142345297,2.40643184039,-1.40626560545,4.46862807825,0.78530122288,8.08234109276e-07,7.97455797211e-07,4.015565671,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,736,0,10,"Generated trajectory violates the no-lateral-slip constraint"
13,0,0.99,2.08375,0.05,0.953510234817,1.68421139739,2.03721886343,2.56177366935,2.57510264592,3.92691400336,6.98128563821e-07,2.69871507232e-07,7.852611354,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,1036,11,1,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 270/360"
14,0,0.55,2.03625,0.1,-0.342345122477,2.20266575407,2.17984637053,-1.24092268701,4.95393770246,0.785302707947,6.25619870404e-07,5.55155754393e-07,8.987533677,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,1321,0,35,"Generated trajectory violates the no-lateral-slip constraint"
15,0,0.79,2.1075,-0.15,3.00446161103,1.05195017646,-2.54107214771,4.61999,1.85690468535,0.78263797823,0.00449659420805,0.010294477364,2.941389708,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,341,0,32,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
16,0,0.67,2.03625,0.15,-0.0479386492968,2.16275695656,2.31598387193,-1.33715119011,4.60953129683,0.785301629069,7.16960093732e-07,6.74184919945e-07,4.527399579,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,791,0,35,"Generated trajectory violates the no-lateral-slip constraint"
17,0,0.95,2.03625,0.1,-3.00084011355,1.42190675222,-1.99522242827,0.573313441064,4.9539377627,3.92688774835,4.13733433881e-07,2.66560074985e-07,5.883043727,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,850,11,0,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 270/360"
18,1,0.63,2.06,0,-0.0199897099267,2.1546211561,2.34806399667,-1.36109546947,4.73158233725,0.785301995666,7.06350902355e-07,7.03675684519e-07,3.773957735,443.626438059,39.5,404.126438059,706,10.28,4.15162292994,0.118904530526,0.0194925459879,0.0274266705783,0.00631622733727,0.05,700,0,0,""
19,0,0.91,2.06,-0.15,3.43371956498,0.97447434386,-2.29955727464,4.46667864964,1.42787291504,0.785301502051,6.69299752816e-07,6.62389718619e-07,0.429724171,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,38,0,10,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
20,0,0.75,2.1075,-0.15,2.85039366158,1.05772332748,-2.5491702333,4.61999,2.0110612759,0.780386181562,0.00523856418045,0.0118092148265,5.416103615,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,888,0,0,"Generated trajectory violates the no-lateral-slip constraint"
21,0,0.99,2.0125,0.15,-2.97025770356,1.33085123021,-1.87992781353,0.549074847681,5.03452018172,3.92688792781,4.25231012242e-07,3.07195307733e-07,5.355630199,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,815,11,0,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 270/360"
22,0,0.51,2.1075,0,-0.413389498683,2.17250490343,2.28006428476,-1.31097986848,5.12498200562,0.785303275503,6.24098276978e-07,6.35705262652e-07,0.620436045,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,62,0,10,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
23,0,0.95,2.08375,0,3.41684631575,0.974282134282,-2.29884777443,4.46616146185,1.29474620464,0.785301075169,6.38649190407e-07,6.38841125674e-07,0.573297921,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,58,0,10,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
24,0,0.51,2.06,0.1,-0.463140955508,2.20542490517,2.17125568153,-1.23509127956,5.07473351374,0.785303124868,6.06611444391e-07,5.52147844841e-07,4.797241526,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,844,0,30,"Generated trajectory violates the no-lateral-slip constraint"
25,0,0.75,2.08375,0,0.406549738956,2.12781092467,2.484348606,-1.470569848,4.30504308779,0.785300761659,9.60413839378e-07,9.60402670164e-07,0.489835347,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,41,0,15,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
26,0,0.63,2.0125,0,-0.0174650355247,2.19153507582,2.21534669506,-1.26529221105,4.72905765153,0.785301990226,6.67066559364e-07,5.80380621378e-07,0.788960032,nan,nan,nan,0,nan,nan,inf,inf,inf,inf,0,74,0,0,"Pre-contact-conditioned Hybrid A* failed at coverage keypoint 1/360"
